,State,Total_Offenses_Society,Animal_Cruelty,Drug_Narcotic_Offenses,Gambling_Offenses,Pornography_Obscene_Material,Prostitution_Offenses,Weapon_Law_Violations,Population_Covered,Total_Offenses_Property,Arson,Bribery,Burglary_Breaking_Entering,Counterfeiting_Forgery,Destruction_Damage_Vandalism,Embezzlement,Extortion_Blackmail,Fraud_Offenses,Larceny_Theft_Offenses,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Total_Offenses_Person,Assault_Offenses,Homicide_Offenses,Human_Trafficking_Offenses,Kidnapping_Abduction,Sex_Offenses,Total_Offenses,Crime_Rate_Total,Crime_Rate_Property,Crime_Rate_Society,Crime_Rate_Person,Year
0,Total,1273179,11566,1039388,1444,25268,7364,188149,177522400.0,5371269,21829,622,522400,102486,1016618,19819,9141,643405,2453071,406911,102659,72308,2235280,2063412,11815,1576,31216,127261,8879728,50.02032419570713,30.25685209303164,7.171934358706281,12.591537743969212,2020
1,Alabama,3235,43,2903,1,11,0,277,715130.0,7981,34,0,910,186,1375,40,13,820,3840,541,66,156,4384,4214,24,0,52,94,15600,21.814215597164154,11.160208633395326,4.523653042104233,6.130353921664592,2020
2,Arizona,18239,182,16530,0,232,39,1256,1769207.0,47284,186,1,4404,567,8390,147,113,6778,23063,2611,720,304,18440,16756,86,5,302,1291,83963,47.45798541380404,26.72609818975394,10.309138501034646,10.422748723015452,2020
3,Arkansas,35720,11,31860,17,390,48,3394,2818360.0,135509,556,1,14994,3868,26063,77,47,23636,54991,7355,1440,2481,63893,60103,340,2,685,2763,235122,83.42511247675954,48.08079876240083,12.674037383442853,22.670276330915854,2020
4,Colorado,31282,759,22217,5,874,224,7203,5754151.0,257623,1329,156,22539,3910,48987,313,751,29769,112828,30179,3958,2904,64221,55631,350,30,2403,5807,353126,61.36891437155542,44.77167874113835,5.436423201268093,11.160812429148974,2020
5,Connecticut,10780,85,8060,16,208,39,2372,3488526.0,78197,159,3,5897,1356,14435,214,164,8575,37125,7295,1695,1279,27833,25994,134,10,249,1446,116810,33.48405601678187,22.415484362163273,3.090130330116502,7.978441324502096,2020
6,Delaware,12934,1154,9431,31,104,41,2173,986809.0,37244,138,1,2572,427,9085,150,74,6090,15849,1597,705,556,16154,15255,87,6,215,591,66332,67.21868162937305,37.74185278002126,13.106893025904709,16.36993582344709,2020
7,District of Columbia,408,1,330,0,0,0,77,689546.0,1065,2,0,1,4,428,0,0,9,412,29,165,15,1062,994,3,0,3,62,2535,3.676331963349798,1.5444944934783176,0.5916936651071865,1.5401438047642941,2020
8,Georgia,39015,885,32004,32,1153,246,4695,7938166.0,207820,651,12,18567,5526,36394,312,251,27491,97267,14621,3862,2866,99961,91136,605,215,2040,5965,346796,43.68716905139046,26.179850610329893,4.914863206438364,12.592455234622204,2020
9,Hawaii,3280,46,2400,313,60,40,421,966438.0,32730,319,2,3301,417,949,32,134,4091,18238,3744,743,760,9376,8358,25,10,323,660,45386,46.962143458763,33.866631899821826,3.3939062826585875,9.701605276282596,2020
10,Idaho,23704,52,22434,0,288,33,897,1819575.0,33036,152,1,3405,744,6751,139,101,4936,14611,1626,163,407,16972,14725,48,4,241,1954,73712,40.51055878433151,18.15588805078109,13.027217894288501,9.327452839261914,2020
11,Illinois,1135,1,557,0,32,6,539,240617.0,9018,61,0,784,118,3154,3,3,858,3282,425,246,84,5688,5350,33,0,117,188,15841,65.83491606993687,37.47864864078598,4.717039943146162,23.639227486004728,2020
12,Indiana,36414,437,30118,249,718,60,4832,4675214.0,112587,629,11,11851,2020,10360,352,105,14877,56932,10860,3333,1257,55303,49876,448,39,1275,3665,204304,43.69939001722702,24.081678400175907,7.788734376650994,11.82897724040012,2020
13,Iowa,24306,0,21444,3,392,31,2436,3083186.0,84304,419,58,11149,3159,17982,164,136,7235,36165,6195,928,714,30872,28466,124,0,220,2062,139482,45.23956712309929,27.34314439673766,7.883403725886145,10.013019000475483,2020
14,Kansas,30538,1,27134,6,387,76,2934,2586059.0,98226,512,6,7818,2850,25413,634,244,12986,39479,5913,816,1555,42607,39051,95,0,1239,2222,171371,66.26724293606604,37.98289211499042,11.808701966969817,16.475648854105803,2020
15,Kentucky,44912,178,41189,13,573,84,2875,4472499.0,119694,360,53,14724,2458,21038,1382,81,7066,54885,11242,2288,4117,47887,43377,366,19,1166,2959,212493,47.51102236132417,26.76221951083723,10.0418133128705,10.706989537616442,2020
16,Louisiana,14814,2,12399,14,314,97,1988,1739794.0,46064,71,1,6312,759,9117,196,59,1735,23833,2594,508,879,22995,21860,130,2,228,775,83873,48.208581015913374,26.476697815948324,8.514801177610682,13.21708202235437,2020
17,Maine,3170,26,2693,2,216,37,196,841254.0,16795,170,2,1179,331,4139,97,39,2529,7636,508,100,65,8338,7599,20,3,21,695,28303,33.64382219876517,19.96424385500693,3.7681841631659405,9.911394180592305,2020
18,Maryland,4136,5,3099,1,105,28,898,1792745.0,41063,44,0,2360,647,8477,95,118,5310,19235,3317,1280,180,8176,7239,100,5,20,812,53375,29.772778616032955,22.905098047965552,2.3070765780967175,4.560603989970688,2020
19,Massachusetts,13306,115,8846,59,891,157,3238,6815611.0,165200,419,12,10299,2530,29897,339,534,52246,57363,6815,2999,1747,68909,64802,167,28,487,3425,247415,36.30122082965122,24.238472530195754,1.9522827813970016,10.110465518058469,2020
20,Michigan,42974,487,25083,23,1070,508,15803,9767448.0,233949,1768,11,22172,3017,47579,1685,517,36400,93671,18074,4424,4631,155110,143029,848,49,818,10366,432033,44.23192219707748,23.951906373087425,4.399716282083099,15.880299541906954,2020
21,Minnesota,22778,260,17993,12,497,22,3994,5584006.0,126006,454,7,11528,3306,23618,156,144,13812,57242,10039,2852,2848,32600,28884,188,50,464,3014,181384,32.48277312022946,22.56552016598836,4.079150344752495,5.8381026094886,2020
22,Mississippi,13881,209,12103,7,119,18,1425,1256005.0,37173,128,9,4730,734,5864,502,36,3708,18123,2221,398,720,16843,16016,91,0,78,658,67897,54.05790582043861,29.596219760271655,11.051707596705427,13.409978463461531,2020
23,Missouri,46084,214,40198,29,489,106,5048,4778935.0,149808,760,3,13587,3390,25966,502,71,12086,72422,15741,2865,2415,58458,54524,402,36,513,2983,254350,53.223155368298585,31.347570117609884,9.64315271080272,12.232432539885979,2020
24,Montana,7558,100,7211,0,16,23,208,1075088.0,35743,156,2,2696,1014,8163,72,7,2525,18039,2521,272,276,13630,11845,61,4,272,1448,56931,52.95473486821544,33.24658074501808,7.030122185346689,12.678031937850669,2020
25,Nebraska,8633,53,7680,0,184,22,694,1034668.0,19921,90,8,1376,611,5662,81,90,2335,8108,1110,109,341,9247,8192,25,1,138,891,37801,36.5344245690405,19.253519003197162,8.343739247758702,8.937166318084643,2020
26,Nevada,11716,44,8506,20,86,590,2470,3059000.0,45727,154,7,4866,669,8551,490,115,6930,17125,4648,1041,1131,25667,23483,93,111,419,1561,83110,27.169009480222293,14.948349133703825,3.830009807126512,8.390650539391958,2020
27,New Hampshire,7604,188,6183,4,700,68,461,1335848.0,29785,145,3,1314,689,7847,111,122,5472,12208,904,260,710,14913,13096,24,7,253,1533,52302,39.152658086848206,22.29669842676712,5.6922643893616645,11.163695270719424,2020
28,New Mexico,7893,62,5918,1,157,59,1696,1114118.0,65205,234,44,7221,705,15032,406,110,5355,26734,6779,1677,908,25958,23577,126,4,853,1398,99056,88.90979232002356,58.52611662319431,7.084527850730353,23.299147846098887,2020
29,New York,3124,0,2548,0,51,27,498,1870894.0,32635,111,1,2195,622,8007,8,45,2260,17010,1289,551,536,11872,11135,22,0,193,522,47631,25.458951709717386,17.443532343360978,1.6697899506866771,6.345629415669728,2020
30,North Carolina,100119,481,84595,95,1551,311,13086,9618194.0,332136,1405,11,40035,5115,57978,1782,626,38413,157274,17618,6591,5288,128459,120176,809,56,1900,5518,560714,58.29722295058719,34.53205456242617,10.409334642241568,13.355833745919453,2020
31,North Dakota,12993,88,12035,6,192,34,638,765309.0,25555,87,0,2823,712,4522,114,45,3620,11018,1820,144,650,10769,9620,34,11,135,969,49317,64.44063770320224,33.39174111372008,16.97745616476482,14.071440424717338,2020
32,Ohio,61965,218,48301,3,1246,409,11788,9805446.0,272856,875,9,30290,2351,61775,113,383,18935,130184,17091,6954,3896,148955,139203,747,16,1908,7081,483776,49.337480416495076,27.82698512642872,6.319447376488536,15.191047913577822,2020
33,Oklahoma,19795,102,15950,1,513,75,3154,2875975.0,101728,539,10,14068,2120,15546,1246,256,14713,41339,8637,1227,2027,36790,33454,206,12,459,2659,158313,55.046723285146776,35.37165656864194,6.882883196133486,12.792183520371353,2020
34,Oregon,22389,407,15546,1,520,116,5799,4000770.0,168615,1315,11,13283,3155,35668,253,160,16272,79717,15607,2105,1069,38223,34389,171,24,445,3194,229227,57.295720573789545,42.14563696488426,5.596172736748176,9.55391087215711,2020
35,Pennsylvania,267,1,219,0,7,0,40,253932.0,722,2,0,20,20,112,3,0,177,353,18,6,11,264,238,3,0,5,18,1253,4.934391884441504,2.843280878345384,1.0514625962856199,1.0396484098105003,2020
36,Rhode Island,3557,35,2265,7,413,13,824,1056100.0,25454,120,0,1801,532,6327,113,72,4148,10076,1496,337,432,9246,8508,32,3,52,651,38257,36.224789319193256,24.101884291260298,3.3680522677776725,8.754852760155288,2020
37,South Carolina,57106,313,46806,40,803,169,8975,5139301.0,208447,710,4,21659,4563,35383,827,208,20234,103272,14065,3076,4446,94085,88748,575,23,1085,3654,359638,69.97799895355419,40.55940681427299,11.111627826430091,18.306964312851104,2020
38,South Dakota,13759,21,12738,11,232,33,724,848707.0,26791,88,0,2628,824,4871,227,36,2323,12987,2120,244,443,13416,12063,52,2,171,1128,53966,63.58613750092788,31.566842267119277,16.211719710100187,15.807575523708417,2020
39,Tennessee,93872,423,79671,20,790,340,12628,6886834.0,263150,992,23,25796,5439,47632,1646,521,25717,126481,20718,5604,2581,144313,136180,747,40,2028,5318,501335,72.79614987089859,38.21059139802121,13.63064653511323,20.954911937764145,2020
